Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term(months),Default_Status(Yes/No)
CUST00121,60,27104,49012,738,36,No
CUST00122,29,33181,141396,688,72,Yes
CUST00123,31,139196,176361,645,84,No
CUST00124,44,86131,442733,383,120,Yes
CUST00125,19,161405,32307,658,48,No
CUST00126,67,190853,26106,331,48,Yes
CUST00127,19,182879,84892,544,36,Yes
CUST00128,25,167841,119276,776,60,No
CUST00129,28,178831,323372,417,36,No
CUST00130,24,171698,18462,619,240,No
CUST00131,42,123980,498601,503,24,Yes
CUST00132,55,184427,132323,404,60,No
CUST00133,56,51733,422452,342,72,Yes
CUST00134,52,132296,351827,679,24,No
CUST00135,39,23316,450422,730,120,Yes
CUST00136,24,133645,194890,770,36,No
CUST00137,64,156772,346027,576,240,Yes
CUST00138,69,161078,411135,795,120,No
CUST00139,64,175313,145716,630,48,No
CUST00140,23,93119,467228,761,48,No
CUST00141,54,179994,355323,688,72,Yes
CUST00142,38,67668,260616,517,72,Yes
CUST00143,69,87725,183435,586,240,Yes
CUST00144,62,92422,296394,310,180,Yes
CUST00145,30,42442,131540,716,120,No
CUST00146,33,144804,343639,802,120,No
CUST00147,23,97132,121180,714,48,No
CUST00148,55,116736,253124,843,72,No
CUST00149,65,164281,178429,660,120,No
CUST00150,34,80434,68258,497,72,Yes
CUST00151,52,68535,105422,521,120,Yes
CUST00152,55,157530,317890,589,24,Yes
CUST00153,30,97659,124266,669,36,No
CUST00154,63,160020,71365,580,12,No
CUST00155,53,96581,370647,429,360,Yes
CUST00156,66,148680,58785,312,240,Yes
CUST00157,48,135466,183628,488,12,Yes
CUST00158,48,49907,436025,366,84,Yes
CUST00159,49,39420,307525,354,36,Yes
CUST00160,27,167545,164297,387,48,Yes
CUST00161,66,129097,322885,531,180,Yes
CUST00162,42,138099,481317,753,60,No
CUST00163,45,100053,303125,361,240,Yes
CUST00164,65,46013,404893,512,360,Yes
CUST00165,31,89375,351254,383,36,Yes
CUST00166,33,65564,294402,376,36,Yes
CUST00167,18,127090,241193,781,60,Yes
CUST00168,36,94112,373567,764,24,No
CUST00169,34,183855,314219,502,84,Yes
CUST00170,32,189773,83113,572,36,Yes
CUST00171,28,100638,316974,595,120,Yes
CUST00172,25,142866,366065,611,84,No
CUST00173,50,161552,263890,748,24,No
CUST00174,45,104494,321519,556,12,Yes
CUST00175,23,80011,358526,321,360,Yes
CUST00176,70,90650,307119,341,36,Yes
CUST00177,48,156043,346578,752,60,No
CUST00178,55,134264,337810,803,24,No
CUST00179,44,107374,173326,407,36,Yes
CUST00180,62,149884,156109,710,180,Yes
CUST00181,23,102448,137329,631,24,No
CUST00182,43,154898,437499,301,360,Yes
CUST00183,52,141104,221660,355,48,No
CUST00184,57,150676,332894,752,12,No
CUST00185,53,54344,491367,594,120,Yes
CUST00186,62,147064,68662,329,360,No
CUST00187,33,61517,167922,314,180,Yes
CUST00188,44,44434,122807,416,120,Yes
CUST00189,25,189793,441282,457,120,Yes
CUST00190,63,96509,271795,579,84,Yes
CUST00191,48,143789,132785,767,180,No
CUST00192,30,177123,271464,439,24,Yes
CUST00193,68,128774,183192,819,60,No
CUST00194,36,98264,444078,801,36,Yes
CUST00195,48,110472,179294,686,120,No
CUST00196,30,82601,304786,692,48,No
CUST00197,44,31441,171816,784,84,Yes
CUST00198,42,193982,420442,455,120,Yes
CUST00199,20,53094,268345,639,24,No
CUST00200,46,46138,280749,767,12,No
CUST00201,44,191646,85929,376,120,No
CUST00202,34,108751,331767,707,360,Yes
CUST00203,39,196778,455542,846,84,No
CUST00204,58,147912,462379,336,240,Yes
CUST00205,22,81543,335910,594,48,Yes
CUST00206,65,43692,232526,400,360,Yes
CUST00207,63,46347,237615,470,60,Yes
CUST00208,19,32056,175065,357,60,Yes
CUST00209,40,118262,230803,449,48,No
CUST00210,54,198729,420508,484,36,Yes
CUST00211,29,40701,324549,691,240,No
CUST00212,49,172871,80034,537,120,No
CUST00213,47,86932,354616,309,120,Yes
CUST00214,36,197631,291574,461,24,Yes
CUST00215,40,174028,161842,734,60,No
CUST00216,37,72223,206690,794,24,No
CUST00217,54,114098,306366,602,60,Yes
CUST00218,60,123758,148906,308,240,No
CUST00219,67,32856,482425,808,60,Yes
CUST00220,67,80324,323276,660,48,No
CUST00221,57,85700,360343,440,360,Yes
CUST00222,24,184484,343868,340,60,No
CUST00223,20,171931,196292,434,24,No
CUST00224,38,128921,97085,505,36,No
CUST00225,41,159159,268084,579,36,Yes
CUST00226,70,146313,427832,602,72,No
CUST00227,47,39739,78797,531,360,Yes
CUST00228,64,196791,213358,674,24,No
CUST00229,18,89326,286318,426,120,Yes
CUST00230,41,196377,397697,568,240,Yes
CUST00231,42,187391,497983,680,24,No
CUST00232,48,26560,329820,635,240,Yes
CUST00233,32,189778,38143,775,60,No
CUST00234,25,56641,28774,338,60,No
CUST00235,25,45478,128102,850,36,No
CUST00236,41,195763,394619,729,240,No
CUST00237,27,128759,348367,401,120,Yes
CUST00238,57,126985,497334,586,12,Yes
CUST00239,62,117132,118911,754,120,No
CUST00240,41,46045,364493,676,180,No
CUST00241,59,114024,36745,707,60,No
CUST00242,25,139201,53063,517,360,No
CUST00243,19,33258,417506,641,48,Yes
CUST00244,26,168000,112586,370,180,Yes
CUST00245,31,81079,177259,451,240,Yes
CUST00246,18,92685,455052,448,36,Yes
CUST00247,52,85707,423651,478,24,Yes
CUST00248,60,26758,74102,315,72,Yes
CUST00249,68,82372,313728,631,12,Yes
CUST00250,21,53228,393873,731,180,Yes
CUST00251,22,144845,240025,670,180,No
CUST00252,46,152078,121155,344,360,No
CUST00253,47,188647,21331,362,120,No
CUST00254,45,199856,61603,802,120,Yes
CUST00255,23,104439,323923,451,24,Yes
CUST00256,26,92093,332322,632,84,No
CUST00257,51,97305,242877,817,240,No
CUST00258,68,49992,452108,520,84,Yes
CUST00259,46,79898,221957,647,120,No
CUST00260,64,44926,168865,737,72,No
CUST00261,41,60013,365092,785,24,Yes
CUST00262,23,44439,231427,398,72,Yes
CUST00263,69,54108,296698,361,240,Yes
CUST00264,53,167241,177829,425,84,Yes
CUST00265,60,130870,460130,352,60,Yes
CUST00266,56,101906,189363,406,240,No
CUST00267,27,192159,257806,529,24,Yes
CUST00268,53,116353,65232,585,240,Yes
CUST00269,45,167053,407355,326,240,Yes
CUST00270,60,90109,20179,484,60,No
CUST00271,37,109082,189037,306,36,No
CUST00272,54,192318,215126,371,36,No
CUST00273,19,44053,396177,843,48,Yes
CUST00274,47,109363,87527,678,60,No
CUST00275,67,168791,317592,386,12,Yes
CUST00276,66,181962,31089,383,60,Yes
CUST00277,45,147313,323282,752,84,No
CUST00278,66,154308,64673,653,84,No
CUST00279,61,197861,315973,798,180,No
CUST00280,20,77807,212231,356,12,Yes
CUST00281,31,99015,115747,440,60,Yes
CUST00282,25,22026,265773,740,36,Yes
CUST00283,26,119669,284226,535,180,Yes
CUST00284,53,195124,427681,662,24,No
CUST00285,65,31089,233704,319,120,Yes
CUST00286,22,102066,306863,739,240,Yes
CUST00287,58,129495,156789,417,84,Yes
CUST00288,38,65055,425123,771,72,Yes
CUST00289,24,83783,233419,710,180,Yes
CUST00290,37,109001,121167,641,36,Yes
CUST00291,58,49891,283189,822,48,No
CUST00292,40,112038,386356,451,48,Yes
CUST00293,24,58389,139201,502,36,Yes
CUST00294,56,60073,403571,377,36,Yes
CUST00295,67,184613,264059,775,240,No
CUST00296,46,198555,489522,630,360,No
CUST00297,46,37900,250849,752,360,Yes
CUST00298,37,92004,315074,357,72,Yes
CUST00299,50,39448,167743,772,120,Yes
CUST00300,20,34913,198324,593,24,Yes
CUST00301,59,43670,327441,819,84,Yes
CUST00302,53,30753,240789,492,72,Yes
CUST00303,56,144683,267860,454,12,Yes
CUST00304,69,110030,379507,386,180,Yes
CUST00305,59,65235,25521,553,120,No
CUST00306,51,157035,324713,462,72,Yes
CUST00307,41,94158,208117,718,72,No
CUST00308,21,185383,344374,642,24,No
CUST00309,53,197833,207670,590,60,No
CUST00310,60,177994,462850,453,72,Yes
CUST00311,23,172761,352923,444,72,Yes
CUST00312,37,191980,371204,701,36,No
CUST00313,23,101155,298036,685,360,No
CUST00314,70,53500,356333,839,24,No
CUST00315,45,153297,194702,318,72,Yes
CUST00316,31,109583,406686,797,48,Yes
CUST00317,26,60617,45456,602,24,No
CUST00318,52,158027,24790,644,240,No
CUST00319,42,60436,90064,485,240,No
CUST00320,28,134733,27907,720,72,No
CUST00321,33,136444,325127,591,120,Yes
CUST00322,32,159987,130393,616,120,No
CUST00323,30,116427,360628,751,120,No
CUST00324,67,120105,268667,840,84,No
CUST00325,70,72349,425090,441,60,Yes
CUST00326,21,188081,256967,680,180,No
CUST00327,63,155242,451256,427,60,Yes
CUST00328,23,62024,148021,760,180,No
CUST00329,45,44042,482366,527,120,Yes
CUST00330,40,26991,222525,354,84,Yes
CUST00331,50,118031,128615,695,24,No
CUST00332,19,103541,493020,401,360,Yes
CUST00333,39,58285,77141,339,60,No
CUST00334,48,56383,402851,780,120,No
CUST00335,23,24981,139177,520,36,Yes
CUST00336,53,179614,281704,733,24,No
CUST00337,33,98944,68883,348,48,Yes
CUST00338,68,183266,244659,364,24,No
CUST00339,49,176431,286046,316,360,No
CUST00340,33,57637,157710,739,12,No
CUST00341,33,169596,223401,491,360,No
CUST00342,51,114530,40483,838,180,No
CUST00343,50,165267,15661,699,120,Yes
CUST00344,42,117858,137985,316,72,No
CUST00345,40,83209,389272,406,240,Yes
CUST00346,65,107167,74945,345,72,No
CUST00347,70,188505,96797,775,120,No
CUST00348,69,55350,38082,768,12,No
CUST00349,20,72289,469409,342,72,Yes
CUST00350,37,155104,213784,784,60,Yes
CUST00351,59,70096,155004,665,12,No
CUST00352,39,91622,70260,676,84,No
CUST00353,65,135274,474047,695,72,No
CUST00354,49,150422,197595,831,60,No
CUST00355,64,131280,46380,740,240,No
CUST00356,29,162992,159018,628,24,No
CUST00357,60,97500,165692,756,240,No
CUST00358,28,136367,189311,757,12,No
CUST00359,40,181179,233034,581,360,No
CUST00360,21,39671,356893,715,72,Yes
CUST00361,50,198103,88879,331,36,No
CUST00362,61,134864,23244,429,24,Yes
CUST00363,59,116030,194871,692,240,Yes
CUST00364,27,198012,240889,679,72,No
CUST00365,22,170450,77191,842,72,No
CUST00366,59,93056,135868,416,12,No
CUST00367,49,155723,207892,420,60,No
CUST00368,63,136987,117496,592,120,Yes
CUST00369,26,39412,242000,476,120,Yes
CUST00370,23,198763,448296,627,360,No
CUST00371,22,164178,289253,597,60,No
CUST00372,63,187169,96273,670,180,No
CUST00373,30,56405,129117,805,12,No
CUST00374,54,116707,250055,432,240,Yes
CUST00375,23,37235,167157,707,120,Yes
CUST00376,51,127687,408263,719,240,Yes
CUST00377,38,188385,43883,760,120,No
CUST00378,40,53642,465303,486,36,Yes
CUST00379,45,151822,482475,356,24,Yes
CUST00380,51,60112,164448,468,36,Yes
CUST00381,38,79105,186415,831,60,No
CUST00382,34,71459,337952,581,36,Yes
CUST00383,58,99383,327137,846,24,No
CUST00384,28,175139,498673,457,36,Yes
CUST00385,60,183703,382819,645,240,Yes
CUST00386,19,41292,28835,571,360,Yes
CUST00387,54,129205,329066,331,120,Yes
CUST00388,58,163019,156871,609,120,No
CUST00389,69,199566,217909,604,120,Yes
CUST00390,21,61439,235479,725,120,Yes
CUST00391,39,179032,80323,620,72,No
CUST00392,40,124521,73559,679,180,No
CUST00393,38,83370,249565,425,60,Yes
CUST00394,46,84990,78860,399,12,Yes
CUST00395,42,181317,224223,554,36,No
CUST00396,54,101976,104527,463,120,No
CUST00397,47,150746,465888,615,120,Yes
CUST00398,43,152499,244720,546,48,No
CUST00399,21,33248,152511,806,240,Yes
CUST00400,59,196297,251723,592,180,Yes
CUST00401,24,132965,75220,570,72,No
CUST00402,41,31860,215020,352,240,Yes
CUST00403,53,71027,195066,595,24,Yes
CUST00404,42,152187,241115,586,240,No
CUST00405,25,53728,55688,703,72,No
CUST00406,39,166232,497279,674,36,No
CUST00407,50,125221,267184,341,12,Yes
CUST00408,20,55923,379127,641,120,No
CUST00409,27,178927,473258,827,36,No
CUST00410,57,103500,90197,702,240,No
CUST00411,37,175641,181356,819,180,No
CUST00412,63,167567,162176,786,12,No
CUST00413,61,48732,223387,615,360,Yes
CUST00414,48,89607,348718,533,12,Yes
CUST00415,55,145946,94397,836,360,No
CUST00416,67,119664,82477,548,12,No
CUST00417,62,48808,105025,319,120,Yes
CUST00418,38,129780,84393,722,48,No
CUST00419,67,180295,487618,782,12,No
CUST00420,51,74353,299066,632,360,Yes
CUST00421,42,102248,95797,770,180,No
CUST00422,40,197174,409744,570,240,Yes
CUST00423,48,70400,134247,585,180,Yes
CUST00424,37,95760,374571,512,120,Yes
CUST00425,38,145777,187873,580,60,Yes
CUST00426,61,162394,204069,704,72,No
CUST00427,69,58397,157280,343,60,Yes
CUST00428,63,40717,186594,752,360,Yes
CUST00429,48,76095,110941,577,180,No
CUST00430,26,48633,327792,545,48,Yes
CUST00431,21,195592,479577,843,48,No
CUST00432,21,46266,221688,638,120,Yes
CUST00433,67,56036,7716,461,84,No
CUST00434,48,145160,346069,504,60,Yes
CUST00435,38,94819,343636,360,24,Yes
CUST00436,59,170505,126750,847,12,No
CUST00437,29,129546,467550,480,12,Yes
CUST00438,43,149861,102680,596,12,Yes
CUST00439,54,178015,61256,643,60,No
CUST00440,59,162422,279893,805,36,No
CUST00441,47,91522,106088,415,72,Yes
CUST00442,47,189944,139880,490,12,No
CUST00443,68,97338,302680,497,36,Yes
CUST00444,57,187438,475308,715,84,No
CUST00445,23,125076,355882,397,36,Yes
CUST00446,26,145161,174660,554,12,Yes
CUST00447,33,137109,400185,573,72,Yes
CUST00448,37,172688,383998,311,60,Yes
CUST00449,59,114254,368210,541,12,Yes
CUST00450,60,50991,249001,614,36,Yes
CUST00451,50,101521,366910,420,360,Yes
CUST00452,36,116349,327240,526,48,Yes
CUST00453,26,145352,85313,765,240,No
CUST00454,62,163978,483568,782,180,No
CUST00455,70,77255,404433,553,360,Yes
CUST00456,66,176189,462774,383,180,Yes
CUST00457,46,158457,373976,670,24,No
CUST00458,25,36189,439516,817,48,Yes
CUST00459,54,160682,83565,468,72,No
CUST00460,46,50471,361670,510,240,Yes
CUST00461,49,43839,476276,822,120,No
CUST00462,47,54588,274089,725,120,No
CUST00463,53,141209,357724,615,12,No
CUST00464,70,20790,396016,523,240,Yes
CUST00465,22,31872,227139,652,24,Yes
CUST00466,52,35795,494990,370,120,Yes
CUST00467,20,95259,219364,484,36,Yes
CUST00468,67,188171,387357,730,72,No
CUST00469,42,137581,460931,686,84,Yes
CUST00470,60,161374,74724,656,24,No
CUST00471,52,123037,282265,430,48,Yes
CUST00472,18,25959,161428,774,360,Yes
CUST00473,64,162723,227365,844,84,No
CUST00474,33,140750,186487,458,60,Yes
CUST00475,64,49581,21891,729,240,No
CUST00476,19,83089,113046,368,24,No
CUST00477,46,176705,357333,349,48,Yes
CUST00478,65,31596,215902,749,48,Yes
CUST00479,52,76955,400515,357,36,Yes
CUST00480,50,95828,127768,626,240,No
CUST00481,61,104060,129205,609,36,No
CUST00482,51,77945,221824,607,60,Yes
CUST00483,55,65910,333200,737,180,Yes
CUST00484,40,188641,356976,690,180,No
CUST00485,44,127022,83233,607,84,No
CUST00486,52,144130,131336,530,60,No
CUST00487,27,141379,484587,359,180,Yes
CUST00488,44,129185,297178,842,36,No
CUST00489,34,73303,178152,380,120,Yes
CUST00490,41,44238,285827,495,12,Yes
CUST00491,35,118872,358198,340,24,Yes
CUST00492,30,174031,384744,522,120,Yes
CUST00493,31,107284,163957,315,48,No
CUST00494,65,50753,396579,790,48,No
CUST00495,63,73611,212949,545,180,Yes
CUST00496,38,94202,204576,777,180,No
CUST00497,37,88566,193557,825,120,No
CUST00498,69,143074,404312,627,48,No
CUST00499,44,31984,299924,526,36,Yes
CUST00500,19,88360,295094,727,60,Yes
CUST00501,39,80298,204145,551,120,Yes
CUST00502,53,191601,499647,645,60,No
CUST00503,49,188216,392760,802,120,No
CUST00504,68,112320,93743,443,180,Yes
CUST00505,52,188246,35792,836,12,No
CUST00506,22,195168,30435,306,84,Yes
CUST00507,58,80668,40634,454,12,Yes
CUST00508,47,117832,36693,794,360,No
CUST00509,18,159516,294220,721,12,Yes
CUST00510,64,92021,285881,593,12,Yes
CUST00511,50,196693,230744,483,24,No
CUST00512,51,59032,131337,496,240,Yes
CUST00513,51,86169,432407,662,60,No
CUST00514,23,117793,217875,770,240,No
CUST00515,62,79207,162273,382,360,Yes
CUST00516,59,28305,54021,715,84,No
CUST00517,48,34710,338839,309,36,Yes
CUST00518,23,151034,448196,744,360,No
CUST00519,54,44998,474128,840,12,Yes
CUST00520,62,168579,254299,577,12,No
CUST00521,61,93498,476498,333,36,Yes
CUST00522,38,24104,113610,447,84,Yes
CUST00523,22,98453,90170,546,240,No
CUST00524,42,197480,475037,639,84,No
CUST00525,26,40559,267559,654,12,Yes
CUST00526,32,39927,183568,706,72,Yes
CUST00527,19,186231,148302,761,120,No
CUST00528,53,118415,231412,490,360,No
CUST00529,42,42464,409838,602,48,No
CUST00530,23,90247,85856,689,360,No
CUST00531,42,103015,194110,409,24,Yes
CUST00532,37,136584,193700,576,24,Yes
CUST00533,29,132978,240323,824,84,No
CUST00534,23,112776,295570,395,240,Yes
CUST00535,56,105047,457837,694,12,Yes
CUST00536,42,42203,385026,548,240,Yes
CUST00537,51,64455,364302,689,36,Yes
CUST00538,37,90361,263538,449,24,Yes
CUST00539,28,133947,149683,731,60,No
CUST00540,22,114666,136963,552,360,Yes
CUST00541,57,71261,245051,409,36,Yes
CUST00542,37,21774,212456,640,240,Yes
CUST00543,42,106387,235803,642,84,No
CUST00544,59,175816,76368,607,72,No
CUST00545,62,72652,256139,621,36,No
CUST00546,38,96401,390285,802,240,No
CUST00547,38,118580,151958,702,72,No
CUST00548,54,72376,315497,484,360,Yes
CUST00549,67,164205,19111,772,48,No
CUST00550,36,38129,434373,718,360,Yes
CUST00551,49,56484,337050,610,48,Yes
CUST00552,27,130920,418703,686,24,Yes
CUST00553,56,145628,310263,710,180,No
CUST00554,62,129655,290026,337,72,Yes
CUST00555,62,160746,316332,387,24,No
CUST00556,60,194245,191126,470,360,No
CUST00557,54,189091,360190,709,72,No
CUST00558,45,47772,10530,400,60,Yes
CUST00559,65,155999,297549,526,120,Yes
CUST00560,47,198141,313590,812,36,No
CUST00561,19,146555,59813,602,84,No
CUST00562,23,50426,440849,445,72,Yes
CUST00563,37,109932,243725,511,180,Yes
CUST00564,48,111304,254646,399,120,Yes
CUST00565,64,138606,172200,368,60,Yes
CUST00566,63,50168,16841,651,360,No
CUST00567,69,63084,492547,549,180,Yes
CUST00568,29,164679,88957,638,180,No
CUST00569,47,80779,423253,714,360,Yes
CUST00570,58,192309,231562,705,12,No
CUST00571,30,137853,315485,739,84,Yes
CUST00572,31,73945,150932,364,240,Yes
CUST00573,24,160742,103020,674,72,No
CUST00574,25,88774,356640,801,180,No
CUST00575,38,176492,208758,701,240,No
CUST00576,40,140025,328675,476,360,Yes
CUST00577,63,97973,486654,386,360,Yes
CUST00578,26,102099,66793,544,60,Yes
CUST00579,41,57056,272819,697,84,No
CUST00580,54,120587,226794,490,120,No
CUST00581,62,189151,492952,477,180,Yes
CUST00582,28,148356,156432,443,36,Yes
CUST00583,46,182374,33107,667,12,No
CUST00584,30,120648,299430,817,360,No
CUST00585,61,148902,222910,754,120,No
CUST00586,54,28089,422270,525,60,Yes
CUST00587,20,92051,122882,850,60,No
CUST00588,47,168281,394293,807,180,No
CUST00589,54,49938,145450,675,180,No
CUST00590,20,135701,291446,523,84,Yes
CUST00591,24,191356,398921,553,60,Yes
CUST00592,20,137894,142790,656,24,No
CUST00593,25,82113,115036,659,240,No
CUST00594,28,181520,77999,511,48,No
CUST00595,54,111964,284068,587,240,Yes
CUST00596,52,64139,174687,599,60,Yes
CUST00597,54,90082,454847,826,360,No
CUST00598,26,127897,486699,360,60,Yes
CUST00599,59,53262,372749,435,48,Yes
CUST00600,27,104435,439363,553,360,Yes
CUST00601,43,148308,79538,575,360,Yes
CUST00602,46,39796,337203,395,84,Yes
CUST00603,50,92935,369224,677,120,No
CUST00604,38,172556,6296,395,120,No
CUST00605,62,113905,450700,364,180,Yes
CUST00606,43,77102,230256,516,120,Yes
CUST00607,35,104637,439290,590,72,Yes
CUST00608,53,171501,73468,796,72,No
CUST00609,66,32690,29087,401,360,Yes
CUST00610,68,140476,13536,427,36,Yes
CUST00611,18,132145,111073,435,360,Yes
CUST00612,35,44468,348192,669,60,Yes
CUST00613,60,190108,91782,353,84,No
CUST00614,64,81379,230040,393,24,Yes
CUST00615,18,75947,254984,379,36,Yes
CUST00616,55,79294,277338,755,12,Yes
CUST00617,39,51612,456066,732,36,Yes
CUST00618,32,120419,51835,404,24,Yes
CUST00619,37,55947,205656,436,360,Yes
CUST00620,61,57448,40867,843,240,Yes
CUST00621,59,63022,235738,659,48,No
CUST00622,27,127927,328001,753,48,No
CUST00623,24,56703,399498,426,240,Yes
CUST00624,64,120671,189305,739,72,No
CUST00625,33,92605,342966,386,48,Yes
CUST00626,53,177548,319576,591,12,No
CUST00627,60,99075,112712,830,240,No
CUST00628,65,122695,159949,355,48,Yes
CUST00629,25,83198,266925,372,180,Yes
CUST00630,18,114659,494645,624,36,Yes
CUST00631,54,130326,196581,476,120,No
CUST00632,67,39134,13750,369,12,Yes
CUST00633,34,76555,25880,361,84,No
CUST00634,58,151346,407186,725,84,No
CUST00635,23,187913,286314,850,240,No
CUST00636,23,101240,46430,823,48,No
CUST00637,27,160611,176311,700,240,No
CUST00638,59,198534,342198,367,60,No
CUST00639,64,82557,35359,550,24,No
CUST00640,25,138848,326019,356,60,Yes
CUST00641,60,192504,393318,479,24,Yes
CUST00642,18,55969,372787,311,36,Yes
CUST00643,49,110886,279205,829,60,No
CUST00644,26,90454,389269,420,12,Yes
CUST00645,39,132544,147596,836,24,No
CUST00646,54,184503,45406,808,120,No
CUST00647,21,150969,455552,470,72,Yes
CUST00648,28,86877,410447,405,240,Yes
CUST00649,61,50234,124749,821,12,Yes
CUST00650,18,84107,29107,783,72,No
CUST00651,27,66913,493196,336,180,Yes
CUST00652,69,191888,224870,529,72,Yes
CUST00653,64,103869,147217,379,240,Yes
CUST00654,50,196508,477876,353,36,Yes
CUST00655,32,155207,29079,710,24,No
CUST00656,36,101447,176599,388,180,Yes
CUST00657,41,72604,157879,611,240,No
CUST00658,41,175108,263663,500,180,No
CUST00659,33,59470,8343,719,12,No
